Qualified Countries,Name,Continent,Ratings,Age,No. Player,Ball Skills,Defence,Mental,Passing,Physical,Shooting,Goalkeeper
Algeria,DZ,Africa,71.6,26.8,50,68.0,46.7,61.1,64.6,68.1,51.7,13.1
Argentina,AR,South America,67.5,26.4,1097,57.5,45.3,54.3,54.2,64.4,43.9,16.9
Australia,AU,Oceania,62.4,24.5,234,50.0,43.8,50.0,48.1,62.8,37.3,19.1
Belgium,BE,Europe,68.3,24.4,265,58.6,44.3,55.2,56.8,64.7,44.3,18.5
Bosnia Herzegovina,BA,Europe,69.7,26.2,52,60.4,48.1,56.8,58.4,63.6,48.0,15.6
Brazil,BR,South America,70.0,27.8,921,60.7,49.7,58.2,57.7,65.1,47.5,15.8
Cameroon,CM,Africa,68.3,25.8,96,57.9,47.4,55.9,54.2,68.3,44.5,15.5
Chile,CL,South America,65.1,25.0,398,56.1,47.0,52.5,53.7,65.0,40.8,16.1
Colombia,CO,South America,65.3,25.1,592,55.6,44.8,53.0,51.9,65.7,41.3,14.6
Costa Rica,CR,North America,69.1,26.4,30,61.7,49.9,57.9,57.3,68.7,45.9,15.3
Croatia,HR,Europe,68.4,25.1,116,58.4,48.6,55.3,54.3,63.5,44.4,14.8
Ecuador,EC,South America,70.8,26.7,34,61.6,47.1,57.2,57.9,69.2,46.1,16.0
England,GB,Europe,62.9,24.4,1618,53.7,44.0,51.2,50.1,64.4,40.3,15.9
France,FR,Europe,67.5,25.1,974,57.2,47.0,54.0,55.4,64.2,42.7,17.3
Germany,DE,Europe,68.1,24.7,689,56.9,47.6,54.9,54.7,63.9,42.5,18.6
Ghana,GH,Africa,65.9,23.4,119,62.0,49.3,56.4,55.4,71.2,44.8,12.0
Greece,GR,Europe,69.5,25.1,86,56.6,47.7,55.3,54.4,64.4,44.6,18.5
Honduras,HN,North America,67.8,26.1,16,64.5,45.3,60.4,56.6,71.5,51.6,10.5
Iran,IR,Asia,68.9,24.8,11,59.8,36.0,55.3,52.0,65.1,46.1,20.3
Italy,IT,Europe,67.5,26.0,751,56.3,45.6,53.6,52.9,63.6,42.2,17.0
Ivory Coast,CI,Africa,69.1,25.3,90,63.7,46.9,57.4,56.0,69.3,46.7,13.2
Japan,JP,Asia,61.8,26.4,471,51.0,42.3,49.2,48.5,62.8,37.6,16.2
Korea Republic,KR,Asia,64.0,26.0,321,52.9,45.8,52.8,52.3,64.9,40.0,16.9
Mexico,MX,North America,66.3,25.7,341,56.3,48.1,53.7,55.0,64.9,43.4,18.5
Netherlands,NL,Europe,68.1,24.3,426,58.2,47.8,54.9,55.3,63.9,43.6,18.1
Nigeria,NG,Africa,66.4,23.7,122,62.4,38.7,54.7,52.3,70.2,47.1,11.9
Portugal,PT,Europe,70.4,25.7,360,61.3,49.3,58.2,57.0,66.0,45.9,16.9
Russia,RU,Europe,66.4,25.5,309,54.1,46.5,52.5,52.6,62.3,42.0,19.8
Spain,ES,Europe,70.3,26.0,1008,59.8,48.5,56.8,58.3,64.6,45.4,17.6
Switzerland,CH,Europe,64.3,24.7,210,53.3,45.8,52.3,51.2,63.0,40.0,18.8
United States,US,North America,64.4,25.2,332,51.3,45.0,52.5,49.3,64.1,39.4,20.0
Uruguay,UY,South America,69.6,26.6,153,59.7,45.0,56.5,54.8,65.7,46.4,16.1